,id,data,message_order,label
0,KG0OUA,good morning,2,location
1,L9DC9H,location,5,whoAreYou
2,ZQR6R5,hi,5,whoAreYou
3,RH0M4E,hi,4,greeting
4,WLVX8I,hello,1,greeting
5,M2IRWL,sir,3,whoAreYou
6,5MXRNL,k,2,whoAreYou
7,609W8Y,on thanks,2,dontMeetRequirements
8,T3V6IY,hii,3,dontMeetRequirements
9,GI07N1,sir i dnt have two wheeler,2,whoAreYou
10,GYJWFS,hi,1,greeting
11,6ZQLO7,hlo,3,greeting
12,1XYSRQ,good mrng,4,greeting
13,C7747X,ok,0,greeting
14,WU1MHH,gm,3,notInterested
15,AL0YY2,yes but no bikes sorry,5,notInterested
16,NKB41P,where it is,1,whoAreYou
17,HKWKR6,job placement company,4,greeting
18,OGBMAM,were,5,whoAreYou
19,J7F5AP,hiii,5,dontMeetRequirements
20,OAMYVS,no,0,whoAreYou
21,R6Z32R,hii,0,greeting
22,W9VE02,thank you,1,dontMeetRequirements
23,V952V0,where is the location,1,notInterested
24,7YXU1E,nahi,3,greeting
25,Z7UF71,marathi,3,whoAreYou
26,GZLTJC,ok,1,whoAreYou
27,2YAC8M,iska location kya hoga,2,location
28,8I1GCO,poda,1,notInterested
29,MY3Q1J,ok,2,whoAreYou
30,YBEI5V,ok,2,location
31,0C9Y5K,k,3,location
32,UNWCX4,ldhu,3,greeting
33,YO8Z66,hi,2,greeting
34,XWSC3M,i am not interested,1,greeting
35,N84XF2,how r u,4,location
36,HTRWUM,hi,5,whoAreYou
37,QS76OO,k,0,whoAreYou
38,OW1O0D,hi,0,greeting
39,HKNA96,hiio,1,notInterested
40,8CWG23,hello,4,notInterested
41,5ENIE2,ok thanks,2,whoAreYou
42,WE94Y2,ok,3,whoAreYou
43,986LDG,learning licence hai,1,notInterested
44,S4914B,okkk,3,whoAreYou
45,UUNNK7,bhaiii,1,greeting
46,8H0AIC,ok,4,whoAreYou
47,S5XV4G,hey,3,greeting
48,J13L6Z,msg kyu karte hai,2,notInterested
49,0FJ0SD,hi sir,2,greeting
50,PL4IXA,ok,0,whoAreYou
51,L2MVZC,hi,5,whoAreYou
52,N63LPE,how are u,1,notInterested
53,Q29W1E,hi sir,5,whoAreYou
54,B6XAGF,i have learning licence,5,whoAreYou
55,64HXXB,hii,4,whoAreYou
56,SG3868,hii,4,whoAreYou
57,3O1NCP,hii,1,whoAreYou
58,GE2L4N,gd morning,3,location
59,OBMETO,okay,4,greeting
60,Y2G2AI,ok,4,notInterested
61,714KZV,k,2,greeting
62,WLAG4Y,dont msg,3,whoAreYou
63,W1IP7Z,i have learning license,4,notInterested
64,LK3Z2Z,lerner license only,3,whoAreYou
65,9QA9O7,ok,2,greeting
66,Y9BH9F,ok bye dear t c good night,3,notInterested
67,XWBY4G,thanks,2,notInterested
68,NJRYHH,which location,2,greeting
69,4UPRAA,ohhhh sry,5,whoAreYou
70,MCR8C2,ok,0,whoAreYou
71,I4QYET,kidar hai job,3,whoAreYou
72,PTTKK3,hallo,4,whoAreYou
73,P50QW5,area,0,greeting
74,1TEYY2,i have lr licence,3,dontMeetRequirements
75,CBHTCZ,hello sir madam sorry but i dont have bike,4,notInterested
76,U237AR,ok,5,location
77,YQL2EV,no,0,dontMeetRequirements
78,UXO1AZ,no one,3,dontMeetRequirements
79,L9XNMY,good morning,1,greeting
80,AIL1VG,hy,3,whoAreYou
81,YITJGF,hai good morning,0,greeting
82,TNL84A,ok,4,notInterested
83,QNPBDD,hai im kishor,0,whoAreYou
84,AX28KL,hi,5,location
85,K7VCBE,i applied,3,location
86,Y25I5H,y,0,whoAreYou
87,ID97YE,no,3,location
88,Q6UIBB,kkk,0,greeting
89,IAN3EE,ok,0,notInterested
90,VHXZKV,hi,0,whoAreYou
91,6N1P2O,where should i come,5,notInterested
92,IP0Y59,ledu,3,greeting
93,3ZL96N,i am interested in that job but no bike,2,whoAreYou
94,H378HD,not interested,2,notInterested
95,F92ZYT,already i have given dis answer before 3days back,1,greeting
96,X4YOO7,how r u,0,greeting
97,BLZNAI,hello,5,whoAreYou
98,EO89PT,hi,2,greeting
99,CJC8R7,ok,3,greeting
100,NCAOB5,hiii,1,whoAreYou
101,AOXR9G,haa hai,5,notInterested
102,3EQWRT,k,1,whoAreYou
103,GBWW49,inserted no,3,dontMeetRequirements
104,Q3CNYP,helo,0,notInterested
105,0F6INN,hai,2,notInterested
106,LGS2C2,two wheeler aahe,2,whoAreYou
107,FC5ADO,hello,2,whoAreYou
108,GDHCBH,hi,3,location
109,S1MT2F,hi,5,greeting
110,SP2TPW,ok,3,whoAreYou
111,YYGGLH,hi,2,greeting
112,MB7OTA,hi,4,whoAreYou
113,5KFO2B,ok,2,dontMeetRequirements
114,6NKGQQ,hiii,2,greeting
115,K3JSO1,hii,2,dontMeetRequirements
116,D5BG34,hi,2,greeting
117,QJGOQM,kkkkk,0,whoAreYou
118,THBPPW,hii,2,notInterested
119,5S2ARJ,location,3,dontMeetRequirements
120,UNKG6S,k,4,notInterested
121,SAP5X2,good morning,4,greeting
122,SZ9R07,driving licence process,2,whoAreYou
123,5AC95I,hii,0,whoAreYou
124,HZRPEH,location kya hai sir,0,whoAreYou
125,KFVKKX,haii,0,whoAreYou
126,ZQDUW3,hii,1,whoAreYou
127,PAYXKO,ok,0,dontMeetRequirements
128,YIAGGH,ok,5,greeting
129,SDU5B6,ll,2,whoAreYou
130,3OKT4Y,no,2,greeting
131,1C33WL,sorry,5,whoAreYou
132,VS4VEQ,swiggy nai karna he merko,2,notInterested
133,VHZG00,hii,1,location
134,3JZ5TP,ok,1,greeting
135,CRJVZ6,g sir,5,greeting
136,Z84STB,kuthe aahe vacancey,3,greeting
137,7IZQWA,sry sir now im not interested on job,2,notInterested
138,2RXHW0,no,1,greeting
139,JOJLVL,ok,3,whoAreYou
140,F11U3U,okok,5,whoAreYou
141,D0BZWO,no,3,whoAreYou
142,M3VRPS,hi,0,notInterested
143,00KNY3,i have llr,3,notInterested
144,V6D17O,in which area,0,dontMeetRequirements
145,9F4373,location kon si rhe gi sir g,3,notInterested
146,UONOCC,no,4,whoAreYou
147,SZ4KBY,where office,1,whoAreYou
148,5WBTTJ,helo,3,whoAreYou
149,ORC294,good morning,1,whoAreYou
150,URA4PO,hi sir,5,whoAreYou
151,78HXUO,ok,5,greeting
152,OO1WHQ,ok,2,whoAreYou
153,S0YZGI,ok,3,greeting
154,62F501,ok,0,notInterested
155,1A3DOF,hiiii,3,whoAreYou
156,WEGQMG,hi,5,dontMeetRequirements
157,ZBY4F2,hi,0,greeting
158,5W13ZG,hi,5,whoAreYou
159,FX5SAO,hii,5,dontMeetRequirements
160,9BMDK8,i have my learning license is it ok for job,4,greeting
161,3E2E13,bt bike nhi aata,1,whoAreYou
162,JZUIOW,ok,5,location
163,ZM5418,but i dont have two wheeler,1,greeting
164,JWOJ5F,yas,5,location
165,KEXKO5,gm,3,notInterested
166,P8AFFS,hai,0,whoAreYou
167,9QA8Z7,dear sir or mam,3,whoAreYou
168,1M84I1,llr,0,dontMeetRequirements
169,NWF6AU,hey mam,0,dontMeetRequirements
170,QZX0ZY,hi,4,whoAreYou
171,O98DOY,sorry i didnt have original licence,2,whoAreYou
172,V36PYJ,k,1,notInterested
173,9O8Z5D,ok,0,greeting
174,ZVGHS2,i had already joined and left the job,2,whoAreYou
175,VOAKOK,hii,2,notInterested
176,DGM3W7,oky,3,greeting
177,X978V6,ok,1,location
178,PEAIDO,telugu ni aati,2,whoAreYou
179,NB32KE,get lost,3,notInterested
180,2EFXFI,hi,2,greeting
181,DD7QWE,hi,3,notInterested
182,V5CE5J,near banashankari,4,whoAreYou
183,3IES44,i dnt have bike will u provide,0,notInterested
184,38655E,hiiii,0,dontMeetRequirements
185,F04F1O,hi,4,notInterested
186,I42747,hi sir,5,whoAreYou
187,I3QDTA,tq,0,whoAreYou
188,TDVKUY,ohhh k,1,notInterested
189,0MALHX,ok,1,whoAreYou
190,FQFRWU,hello,5,greeting
191,J39OQ6,job location,0,whoAreYou
192,4UZKPJ,kahapar hai job,0,location
193,FZZMAZ,no we,5,greeting
194,C8TYHC,hello,5,notInterested
195,PPSYG2,hi,2,greeting
196,0UD8C3,good morning,1,notInterested
197,U2RCTA,ok,1,greeting
198,806PEJ,hlw,1,notInterested
199,2EABDW,but i dont have a bike so have can i do this type of jobs,5,notInterested
200,JXEJTR,hai good morning,3,whoAreYou
201,5V63MW,llr license,3,whoAreYou
202,K1NVFN,k k,3,dontMeetRequirements
203,BIJ3QZ,hi,5,greeting
204,HVUA2U,hai,0,whoAreYou
205,H8550Q,ekada job,5,whoAreYou
206,I5IU8C,driving license nai hai but gaadi hai,5,greeting
207,LM5JV1,gdmng,1,dontMeetRequirements
208,LB6GR9,sry i dnt have a bike to do this job thank you,1,greeting
209,5JZFLX,kkk,2,whoAreYou
210,WQGK5I,sir bike nahi hai,3,notInterested
211,0HUJ05,thank you,5,greeting
212,F5RHW6,what location,3,notInterested
213,8SD3A9,i have a leaning license,5,whoAreYou
214,CEI40A,ok,1,greeting
215,0BC07U,ok,4,greeting
216,AV7R7W,bhai,3,whoAreYou
217,FL10RD,okau,5,greeting
218,GJYSVJ,ok,3,greeting
219,G9PWMH,helloooo,3,whoAreYou
220,TDLURE,good night,0,notInterested
221,JCUEX6,thanks,4,dontMeetRequirements
222,SMKE5U,i want to my nearest jalahalli cross address,4,whoAreYou
223,Q2FG14,good night,3,notInterested
224,MV7OI3,hi unnati thx for contacting me,0,notInterested
225,ZIPT00,ok,4,greeting
226,46N06K,ok ok,3,greeting
227,XCRIJW,where s the office,3,location
228,L014TW,ok,0,greeting
229,5I79AF,i applied for license but not yet received,1,greeting
230,ZA2AR7,k,4,notInterested
231,CIBIVS,how r u,4,whoAreYou
232,IH326X,बइक नह ह,0,notInterested
233,6B0G3F,ok,4,notInterested
234,Z6HKYO,kk,2,dontMeetRequirements
235,KOQJ9L,you dont have swiggy offic in thane,5,whoAreYou
236,WYZL8Y,ok,0,whoAreYou
237,258WM9,kahase vai,2,greeting
238,EVEZJ0,where i have to come for interview,4,notInterested
239,RINU9R,hii,3,whoAreYou
240,NAR2RT,hlo vahna,3,notInterested
241,9X46W3,bike ledhu,3,greeting
242,3Q3WEG,k,5,whoAreYou
243,MY1JHR,suno bhai meri age nahi hai 17th hya,1,greeting
244,DSF5CU,okay,3,dontMeetRequirements
245,00W0VD,in which location,5,notInterested
246,XVT3O3,hello,4,dontMeetRequirements
247,AXXXEK,i have need jobbut i am not apply fees,4,notInterested
248,HRAJS5,no licence,1,notInterested
249,43V1WZ,bhi na bike hai na licence hai,4,greeting
250,147F8C,i not interests,2,whoAreYou
251,68ORM2,sirwhich area,4,notInterested
252,1DRD1G,no bike,2,greeting
253,XBTTJO,ok,4,greeting
254,NQ9NJZ,hii,2,whoAreYou
255,Y3WMBB,ok,0,whoAreYou
256,QYR8I7,why i should deposit,0,location
257,W06SBO,but doesnt have driving license,5,greeting
258,T9RLD4,hii,1,whoAreYou
259,JB39Z4,ok,5,greeting
260,JZXY6K,hello brother,1,whoAreYou
261,PE42AW,hiii,1,location
262,URQ329,ktq so much sar or mam by,2,location
263,R6OMM4,okn,0,greeting
264,EAIXAI,hai,4,whoAreYou
265,GIJRWR,hii sit,5,greeting
266,8BTVQU,hi,1,dontMeetRequirements
267,YJ5CM7,i dnt have bike but this job intrested,2,whoAreYou
268,LRRF38,why should i tell you,1,notInterested
269,BVHB5L,i have learning license,3,whoAreYou
270,JBT0CQ,sorry i m unable to pay 500 rupees,2,notInterested
271,BNUW6I,ok,1,greeting
272,CTPYLL,unexpectedly i applied for this job,4,greeting
273,K4C5K3,dont send any text msg,5,location
274,AWI2P0,k,2,notInterested
275,ADNKEO,hi,0,dontMeetRequirements
276,IMO9HZ,near vijaynagar,3,notInterested
277,7PQIXJ,ur location,1,location
278,4WWIF0,hello,4,whoAreYou
279,TCMDFQ,but job location,1,greeting
280,NBSW3D,ok,0,whoAreYou
281,LKYJD9,i have learning license,1,notInterested
282,94LFUN,which city,0,whoAreYou
283,EE24ZT,hello,4,whoAreYou
284,WEPQTT,you head office,3,notInterested
285,039QO8,hi,2,greeting
286,XYIWKR,hi,4,dontMeetRequirements
287,56S4XN,whr is your office pls,4,greeting
288,30R80E,gud mrng,0,greeting
289,C6ZEDT,ok not interested,5,greeting
290,H38PTG,i have lost my license so im making new,5,whoAreYou
291,GHHPUZ,hii,1,notInterested
292,7TZTAM,hlo,1,greeting
293,X34EWI,ok,2,whoAreYou
294,YPFW58,k,3,location
295,RUG0BB,hi,1,whoAreYou
296,2DZF8P,okok,3,whoAreYou
297,II9M86,k,4,dontMeetRequirements
298,295WE7,ok,1,whoAreYou
299,P1JH2M,hello,1,whoAreYou
300,3XZDFI,okey,1,greeting
301,XQ84T5,which location,5,location
302,80MSEU,lr,3,whoAreYou
303,27QL1V,hii,0,whoAreYou
304,O89PMZ,gud morning,4,notInterested
305,B9I333,which area,5,greeting
306,A4WZES,but mere paas bike nhi hai,5,whoAreYou
307,HYSELH,llr,0,whoAreYou
308,C286XU,hello job location akkada,3,notInterested
309,1DKKQK,bhakk,1,whoAreYou
310,PBV1A3,okay,2,greeting
311,6HB21K,i dont have vehicle sir,1,notInterested
312,RLXHOU,sorry,1,whoAreYou
313,YUFNT7,location were,5,dontMeetRequirements
314,Q70ZHB,wher,0,greeting
315,G1X3XA,hello,3,whoAreYou
316,ADWYPN,dl,3,whoAreYou
317,JS11UL,snd the location,5,location
318,TE2O24,two wheeler ahe pan license nahi,3,whoAreYou
319,B5G4OK,hello me peru,5,greeting
320,E3CKAK,ok,2,whoAreYou
321,KRXOTI,no bike,3,whoAreYou
322,T11AS8,hi,0,notInterested
323,BK3V7X,hi,2,dontMeetRequirements
324,CVTK5R,tq,0,greeting
325,KPMR0D,interview place,5,notInterested
326,OLWH4F,ok thanks sir,1,greeting
327,7QC3FB,job kaha pr h sir,5,greeting
328,QKBFHM,address,2,notInterested
329,B2OWDA,hi,1,notInterested
330,KYUAV4,gm,4,dontMeetRequirements
331,3V1DNQ,hiii,5,whoAreYou
332,XFXCJZ,helo,5,notInterested
333,QVNYC2,okay,3,whoAreYou
334,7J7861,hello,0,whoAreYou
335,2CLA15,hiii,3,whoAreYou
336,J5ED7V,i have no bike,4,notInterested
337,IJTIDQ,hello,4,greeting
338,DON336,hii,0,greeting
339,Y9UT28,i have no two wheeler,3,greeting
340,MU1ZOI,ok,5,whoAreYou
341,YGNTGJ,yes but where are from,1,whoAreYou
342,M2KEX4,ok,3,notInterested
343,W8W0VP,hello,1,whoAreYou
344,EICLS9,hello how are you,0,whoAreYou
345,4MEDI6,hi,5,whoAreYou
346,EMJ0E8,location,5,greeting
347,DVWJ17,mere pass bike nhi hai,4,greeting
348,WHM7QW,hi ra,1,whoAreYou
349,NTYD0W,good morning everyone,0,notInterested
350,FPKVL3,good morning,5,notInterested
351,SFBDIC,hello,0,greeting
352,4U617C,better i wl blk u,4,whoAreYou
353,ATMWBB,मर पस बइक नह ह,2,notInterested
354,6YMHH4,hello,1,greeting
355,X6YLBO,sir bike nahi hai,3,notInterested
356,Y3SH9Y,nahi,5,greeting
357,RY2Y69,hello,4,whoAreYou
358,F8BIDM,kk,4,whoAreYou
359,Z49Q7G,ok,2,notInterested
360,019LLI,where,5,notInterested
361,G51VCB,i dont have vehicles and license also,1,greeting
362,QDYWFD,gd mrng,5,greeting
363,FE9ZD1,k,2,whoAreYou
364,RC97MT,hi,5,dontMeetRequirements
365,TPCLC5,ok,1,greeting
366,NFD0BP,hi,0,whoAreYou
367,4INEVO,am from thiruvallur where is job location,3,whoAreYou
368,I99L06,where is kasturinagar,4,notInterested
369,5DHOLO,kidar hey,2,location
370,FJTUMK,లద,4,notInterested
371,5RLRN0,hii,0,greeting
372,KODRH6,give address,0,dontMeetRequirements
373,S4PNMZ,tq,5,whoAreYou
374,1JUGLD,ok,0,greeting
375,D3HMHC,hi,5,whoAreYou
376,U1M17Q,hi,3,notInterested
377,SHVXFF,learning licence,1,greeting
378,UGVYFH,dombivli mein hai kya,1,notInterested
379,96RDFQ,apply chesanu,4,greeting
380,8S0MYG,bat were,5,greeting
381,X3I8HU,hello,0,notInterested
382,94A1HG,good morning,0,dontMeetRequirements
383,84TDV4,okay,0,location
384,2VZZEY,hi,0,whoAreYou
385,Q90QFX,bhai apka location kidar hi,4,whoAreYou
386,6GX8LN,iam not interested,3,notInterested
387,NI60LW,hi,1,location
388,R7CWTM,hiii sir,0,notInterested
389,K2UGS5,were is the place,3,greeting
390,CJWDDY,hi,4,notInterested
391,NDXHZ1,i dont have bike,5,dontMeetRequirements
392,S1EEUU,ok sir,5,notInterested
393,XLBUPK,i dot have licence,1,whoAreYou
394,DRF99K,learning license,2,whoAreYou
395,KAAS3I,hi,1,whoAreYou
396,WLPI8T,na ku bike,0,whoAreYou
397,EA6E53,ok ok,1,greeting
398,7MF3FX,ok,4,greeting
399,MJS835,k,0,whoAreYou
400,MQ0JKV,sir,3,location
401,514VIE,nhi karna h,2,notInterested
402,J5BXES,ok,4,whoAreYou
403,DFUSH5,bike nhi hai,0,location
404,6J12XY,but im below 18,4,notInterested
405,02ZUBP,ok,0,notInterested
406,MVRFXJ,mere paas filhaal driving licence ka paavti hai,2,dontMeetRequirements
407,NG6FJV,hi,0,greeting
408,BX2FJ9,hi,5,dontMeetRequirements
409,Q6XN90,good night,3,notInterested
410,23FHY0,hi,3,greeting
411,2B70RI,ol,1,greeting
412,3MAL6L,hlo,5,greeting
413,F7GLVM,where,2,whoAreYou
414,PKC1CH,gn,3,dontMeetRequirements
415,N3I54Z,hello,5,notInterested
416,WBGB3U,whr in job,4,whoAreYou
417,YDBVH9,kk thank you,4,dontMeetRequirements
418,TXSKIG,hold on,4,location
419,G1TSEX,where is office address,5,whoAreYou
420,PFD6U8,ok,4,whoAreYou
421,0QY7MT,which area,4,dontMeetRequirements
422,W7ZV7N,hai,0,notInterested
423,ETZ53I,where,4,notInterested
424,9IWM97,no,2,greeting
425,PJMCUJ,ok sir,2,whoAreYou
426,6HQ1YT,inshallah i well come,4,notInterested
427,OJU2S1,okay,1,greeting
428,GOZ8X4,hello,3,notInterested
429,UGTC13,bike nahi hai,5,greeting
430,UMDN3T,i m under 18,0,greeting
431,MW5HRF,not interested,4,dontMeetRequirements
432,N1ND0Y,hi,1,whoAreYou
433,Y7IXQ5,k,4,location
434,2D92ZZ,location,5,greeting
435,WNS621,kk lev it,3,dontMeetRequirements
436,3Q7TU2,hii,4,greeting
437,C4J6T1,hi,4,dontMeetRequirements
438,LI5X6H,ok,5,notInterested
439,GMZTUL,hello,1,notInterested
440,6W0UNT,where,5,notInterested
441,Q81XR1,assalatu khairu minanum,3,notInterested
442,57KTTN,learning,5,notInterested
443,JOYSXL,yes but i am no money,0,notInterested
444,MRSG6E,ok,3,whoAreYou
445,QPAOFT,ok,5,notInterested
446,MCGB4N,hi,3,dontMeetRequirements
447,UNZAL6,sir can u say me were tht office,1,notInterested
448,Q56QQT,hi,5,whoAreYou
449,FP1W6R,ok,1,greeting
450,US5NIH,ledhuu,1,greeting
451,CCMJRX,hello,5,greeting
452,XA23CA,ok,0,notInterested
453,665MN2,mere paas bike nhi hai,0,greeting
454,K4FFH0,sorry but muze bike chalana nhi aata,1,whoAreYou
455,263DIM,hiiii,2,greeting
456,IT4J2T,hi,4,greeting
457,UK5ZAY,where kasthuri nagar come,2,whoAreYou
458,K0EAZN,ledhubut teeeskuntanu,5,notInterested
459,0987UV,halo,3,whoAreYou
460,R9EL35,im present busy,2,notInterested
461,6V6RTZ,llr,2,location
462,IRDHVO,thanks,2,greeting
463,KALEVH,no,0,notInterested
464,RN1JLA,sir i need job in near by rajajinagar is there any delivery boy jobs,5,greeting
465,UG8A8J,hi,0,whoAreYou
466,GPDKNB,hi,1,notInterested
467,S48P1L,where is the location,5,whoAreYou
468,2I109P,wher,1,notInterested
469,GT9CV4,okk,3,notInterested
470,1TDN99,hi,4,whoAreYou
471,K5YSZY,hi,4,greeting
472,KNIZBF,i have ll,0,greeting
473,KKGWTF,thanks for the information,1,greeting
474,GFESJW,bro,2,greeting
475,BMUZD5,hi yari,4,notInterested
476,OX5RVG,k,1,greeting
477,MEP4FK,hlo,4,notInterested
478,90VJWM,ok,3,notInterested
479,SVYZ24,hi,1,notInterested
480,TODM1M,btw for which location,3,notInterested
481,H7A6V2,ok,5,dontMeetRequirements
482,CIBS34,licnc he but bike nahi,0,greeting
483,IN8SYY,noh,1,location
484,TXLUDM,hi,4,whoAreYou
485,646HIG,hii,4,notInterested
486,3MWG4F,assalamualaikum,4,greeting
487,WP6ZAX,office address,2,greeting
488,9O1Z6P,जय महरषटर,3,whoAreYou
489,PIKWPC,i dont hv bike and license,4,greeting
490,DRR952,hi,1,notInterested
491,4WREKB,hii,3,whoAreYou
492,LPU45J,ok thnx bro,4,notInterested
493,J71D7C,k,2,greeting
494,5LI5L1,hello,2,greeting
495,NSDPFU,hii,0,notInterested
496,DFNWKA,4 welar lagana hy,1,whoAreYou
497,PGUK1L,thank u computer,4,whoAreYou
498,GQ5RNL,hi,2,location
499,3VX63W,i have my bicycle,2,notInterested
500,14AGSB,ledhu,3,whoAreYou
501,AA3HTM,but left ago 3months,0,dontMeetRequirements
502,GM8Q28,i need clarity r else they will keep on calling and disturb,4,greeting
503,6P8SF1,gd night to all,1,greeting
504,7WRB7O,hi,0,dontMeetRequirements
505,NRJDRI,chal be,4,greeting
506,V2IDT5,hi,0,whoAreYou
507,OU3DB3,i dnt want in swiggy,3,greeting
508,O49IQI,sir kamm kis state me ha,4,whoAreYou
